Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
protein phosphatase binding (GO:0019903)	4/92	5.407015383845493E-5	0.0038896716917538516	0	0	19.32367149758454	189.85948230729116	CTNNB1;MAPK14;TP53;EGFR
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	7/460	6.931001706990114E-5	0.004692695861615072	0	0	6.76328502415459	64.77144715966881	JUN;PARP1;NR1I2;PPARG;TP53;NFKB1;PPARD
sequence-specific double-stranded DNA binding (GO:1990837)	4/112	1.1631595086703321E-4	0.007437758858219734	0	0	15.873015873015873	143.79683103294047	NR1I2;PPARG;NFKB1;PPARD
DNA binding (GO:0003677)	9/893	1.408504908915769E-4	0.008532574474537105	0	0	4.479283314669653	39.72144044093954	RB1;APP;JUN;PARP1;BCL2;PPARG;TP53;EGFR;PPARD
protease binding (GO:0002020)	4/118	1.4231127340558444E-4	0.008190013784491385	0	0	15.065913370998118	133.44623477511695	BCL2;TNF;TP53;INS
regulatory region DNA binding (GO:0000975)	5/224	1.4294874321253158E-4	0.007834952544648756	0	0	9.920634920634921	87.82762332373227	JUN;PPARG;TNF;TP53;NFKB1
RNA polymerase II transcription factor binding (GO:0001085)	4/121	1.5677605259898546E-4	0.008202238024610557	0	0	14.692378328741967	128.71540404016181	RB1;JUN;CTNNB1;TP53
RNA polymerase II activating transcription factor binding (GO:0001102)	3/47	1.610376351596536E-4	0.00805888339429397	0	0	28.368794326241133	247.76943153309273	RB1;JUN;CTNNB1
cytokine receptor binding (GO:0005126)	4/137	2.5247451453155667E-4	0.012108256926075906	0	0	12.976480129764802	107.4997598947761	IL6;TGFB1;IL1B;VEGFA
kinase binding (GO:0019900)	6/418	3.2855721709493127E-4	0.015126774275050636	0	0	6.379585326953749	51.16937517293481	RB1;PARP1;SRC;CTNNB1;RAC1;TP53
ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)	3/65	4.2171165219509206E-4	0.018668850449098114	0	0	20.512820512820515	159.40900033053455	NR1I2;PPARG;PPARD
ubiquitin protein ligase binding (GO:0031625)	5/284	4.2784815957281084E-4	0.018239008580307605	0	0	7.8247261345852905	60.694383354307895	RB1;JUN;BCL2;TP53;EGFR
ubiquitin-like protein ligase binding (GO:0044389)	5/297	5.245169562318459E-4	0.021561393450816237	0	0	7.482229704451927	56.51352639189733	RB1;JUN;BCL2;TP53;EGFR
actinin binding (GO:0042805)	2/22	0.0011111839587462763	0.044102508155757385	0	0	40.40404040404041	274.8415839435076	PPARG;NFKB1
disordered domain specific binding (GO:0097718)	2/23	0.0012152721063780137	0.04662593981470312	0	0	38.64734299516908	259.43139213129734	RB1;TP53
integrin binding (GO:0005178)	3/94	0.0012366023409194325	0.0459138482063957	0	0	14.184397163120567	94.97003840869195	SRC;IL1B;ICAM1
core promoter binding (GO:0001047)	3/97	0.0013538080248683298	0.04869478239448274	0	0	13.745704467353953	90.78809482124666	RB1;PPARG;TP53
glutathione transferase activity (GO:0004364)	2/30	0.002068700520484921	0.07215376663873163	0	0	29.62962962962963	183.1358410878608	GSTM1;GSTA2
protein homodimerization activity (GO:0042803)	6/664	0.003541617373072917	0.11989416460020376	0	0	4.016064257028113	22.66334044629639	JUN;GSTM1;BCL2;AKT1;HMOX1;VEGFA
hormone receptor binding (GO:0051427)	2/40	0.0036568180781167098	0.12025707451178094	0	0	22.222222222222225	124.69248638356557	SRC;CTNNB1
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	4/284	0.0037535639736632448	0.12000978149128876	0	0	6.259780907668232	34.96118621195878	PARP1;NR1I2;TP53;NFKB1
androgen receptor binding (GO:0050681)	2/42	0.004025066020184411	0.12521218889816912	0	0	21.164021164021165	116.72410509451517	RB1;CTNNB1
chemokine activity (GO:0008009)	2/46	0.004810978991354867	0.14572202155393293	0	0	19.32367149758454	103.12762672595534	CXCL10;CCL2
chemokine receptor binding (GO:0042379)	2/49	0.005443068432800944	0.1606403016962535	0	0	18.140589569160998	94.57437327861307	CXCL10;CCL2
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	3/159	0.0054785073640086545	0.15764404939934903	0	0	8.385744234800839	43.66392112330903	RB1;NFKB1;PPARD
transcriptional activator activity, RNA polymerase II transcription factor binding (GO:0001190)	2/50	0.0056617913266769635	0.15894443456110208	0	0	17.77777777777778	91.98248796492233	JUN;CTNNB1
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	2/52	0.0061111670370749115	0.1674750776112672	0	0	17.094017094017097	87.13910289925491	JUN;NFKB1
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0003705)	2/64	0.00913389091566729	0.24449089404495467	0	0	13.88888888888889	65.2189375966527	JUN;NFKB1
enhancer sequence-specific DNA binding (GO:0001158)	2/64	0.00913389091566729	0.23893428281666027	0	0	13.88888888888889	65.2189375966527	JUN;NFKB1
phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	2/68	0.010262427755379562	0.26249009658759725	0	0	13.071895424836603	59.85968423397462	SRC;EGFR
growth factor activity (GO:0008083)	2/69	0.010553764582444435	0.26407354422594664	0	0	12.882447665056361	58.63153172625358	IL6;VEGFA
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	2/71	0.011147360925462228	0.27299175372780904	0	0	12.519561815336465	56.29486694698539	SRC;EGFR
core promoter sequence-specific DNA binding (GO:0001046)	2/73	0.011755406983254994	0.28188486328596873	0	0	12.176560121765602	54.105838361637716	PPARG;TP53
transition metal ion binding (GO:0046914)	4/399	0.012208187769006453	0.28676783922706994	0	0	4.455583402951824	19.62973399606542	NOS3;PPARG;CYP3A4;TP53
steroid hormone receptor binding (GO:0035258)	2/76	0.012694272296496731	0.29222214826535475	0	0	11.695906432748538	51.07139634531757	RB1;CTNNB1
phosphatidylinositol 3-kinase activity (GO:0035004)	2/76	0.012694272296496731	0.286492302220936	0	0	11.695906432748538	51.07139634531757	SRC;EGFR
vascular endothelial growth factor receptor 2 binding (GO:0043184)	1/6	0.013425837026561787	0.2971757387994734	0	0	74.07407407407408	319.30179942100295	VEGFA
DNA ligase (ATP) activity (GO:0003910)	1/6	0.013425837026561787	0.29156864938816257	0	0	74.07407407407408	319.30179942100295	PARP1
long-chain fatty acid binding (GO:0036041)	1/6	0.013425837026561787	0.28616922995504845	0	0	74.07407407407408	319.30179942100295	PPARD
arginine binding (GO:0034618)	1/6	0.013425837026561787	0.28096615304677486	0	0	74.07407407407408	319.30179942100295	NOS3
NADPH-hemoprotein reductase activity (GO:0003958)	1/6	0.013425837026561787	0.27594890031379676	0	0	74.07407407407408	319.30179942100295	NOS3
LBD domain binding (GO:0050693)	1/6	0.013425837026561787	0.2711076915363617	0	0	74.07407407407408	319.30179942100295	PPARG
type II transforming growth factor beta receptor binding (GO:0005114)	1/7	0.01564628387469986	0.310497805858268	0	0	63.492063492063494	263.96964078019323	TGFB1
interleukin-6 receptor binding (GO:0005138)	1/7	0.01564628387469986	0.30523513118270407	0	0	63.492063492063494	263.96964078019323	IL6
cAMP-dependent protein kinase regulator activity (GO:0008603)	1/7	0.01564628387469986	0.30014787899632567	0	0	63.492063492063494	263.96964078019323	CXCL10
DNA ligase activity (GO:0003909)	1/7	0.01564628387469986	0.295227421963599	0	0	63.492063492063494	263.96964078019323	PARP1
cAMP response element binding (GO:0035497)	1/7	0.01564628387469986	0.2904656893512829	0	0	63.492063492063494	263.96964078019323	JUN
histone deacetylase binding (GO:0042826)	2/85	0.015699579788333192	0.28682883073605564	0	0	10.457516339869281	43.44179170782102	MAPK8;TP53
type I transforming growth factor beta receptor binding (GO:0034713)	1/8	0.017861844899874278	0.3212341168711765	0	0	55.55555555555556	223.61602283351888	TGFB1
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	3/254	0.019407085140220423	0.34365469225221085	0	0	5.2493438320209975	20.693527906423185	SRC;AKT1;CCL2
histone kinase activity (GO:0035173)	1/9	0.02007253046339058	0.3500527661115539	0	0	49.382716049382715	193.00755764141255	CDK2
retinoid X receptor binding (GO:0046965)	1/9	0.02007253046339058	0.3448280979606352	0	0	49.382716049382715	193.00755764141255	PPARG
vascular endothelial growth factor receptor binding (GO:0005172)	1/9	0.02007253046339058	0.3397570965200376	0	0	49.382716049382715	193.00755764141255	VEGFA
double-stranded DNA binding (GO:0003690)	2/99	0.0209142959495074	0.3488747048968553	0	0	8.978675645342314	34.72343288099973	PPARG;EGFR
I-SMAD binding (GO:0070411)	1/10	0.022278350937474194	0.36631974184332566	0	0	44.44444444444445	169.0728836460452	CTNNB1
death domain binding (GO:0070513)	1/10	0.022278350937474194	0.36116030885961686	0	0	44.44444444444445	169.0728836460452	BCL2
prostaglandin receptor activity (GO:0004955)	1/10	0.022278350937474194	0.35614419345878884	0	0	44.44444444444445	169.0728836460452	PPARG
gap junction channel activity (GO:0005243)	1/11	0.02447931669919003	0.3859684043940784	0	0	40.40404040404041	149.8960296703985	GJA1
tumor necrosis factor receptor binding (GO:0005164)	1/11	0.02447931669919003	0.3807526151455098	0	0	40.40404040404041	149.8960296703985	TNF
thioesterase binding (GO:0031996)	1/11	0.02447931669919003	0.37567591361023633	0	0	40.40404040404041	149.8960296703985	RAC1
protein kinase binding (GO:0019901)	4/495	0.024835621521424354	0.3761289522520978	0	0	3.591470258136925	13.272193238005675	PARP1;RAC1;TP53;EGFR
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	3/280	0.025000715079890993	0.3737119877526563	0	0	4.761904761904763	17.565956434892193	RB1;JUN;TP53
RNA polymerase II basal transcription factor binding (GO:0001091)	1/12	0.026675438127783887	0.39363370878306736	0	0	37.03703703703704	134.22266878777828	TP53
transcriptional repressor activity, RNA polymerase II activating transcription factor binding (GO:0098811)	1/12	0.026675438127783887	0.3886510036085981	0	0	37.03703703703704	134.22266878777828	JUN
BMP receptor binding (GO:0070700)	1/12	0.026675438127783887	0.38379286606349067	0	0	37.03703703703704	134.22266878777828	TGFB1
wide pore channel activity (GO:0022829)	1/12	0.026675438127783887	0.3790546825318426	0	0	37.03703703703704	134.22266878777828	GJA1
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1/13	0.028866725585080872	0.40519025790765956	0	0	34.188034188034194	121.19882772753269	NOS3
platelet-derived growth factor receptor binding (GO:0005161)	1/13	0.028866725585080872	0.4003084475714227	0	0	34.188034188034194	121.19882772753269	VEGFA
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	1/14	0.03105318942430504	0.42550263127827503	0	0	31.746031746031747	110.22392879043346	CASP3
protein serine/threonine/tyrosine kinase activity (GO:0004712)	1/14	0.03105318942430504	0.42049671796911886	0	0	31.746031746031747	110.22392879043346	AKT1
cadherin binding (GO:0045296)	3/313	0.03322750299936708	0.44470762735199426	0	0	4.259850905218317	14.502139903732388	SRC;CTNNB1;EGFR
insulin-like growth factor receptor binding (GO:0005159)	1/15	0.03323483999578458	0.4396931130476788	0	0	29.62962962962963	100.86389795048632	INS
interleukin-1 receptor binding (GO:0005149)	1/15	0.03323483999578458	0.4346966003994097	0	0	29.62962962962963	100.86389795048632	IL1B
RNA polymerase II carboxy-terminal domain kinase activity (GO:0008353)	1/15	0.03323483999578458	0.4298123689342478	0	0	29.62962962962963	100.86389795048632	MAPK1
retinoic acid receptor binding (GO:0042974)	1/16	0.03541168760944945	0.45287613820529243	0	0	27.77777777777778	92.79759319093597	PPARG
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	1/16	0.03541168760944945	0.4478994773458936	0	0	27.77777777777778	92.79759319093597	CASP3
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	1/16	0.03541168760944945	0.44303100476604695	0	0	27.77777777777778	92.79759319093597	CASP3
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	1/16	0.03541168760944945	0.4382672305212507	0	0	27.77777777777778	92.79759319093597	TGFB1
CXCR chemokine receptor binding (GO:0045236)	1/17	0.03758374258298183	0.4602009331171499	0	0	26.143790849673206	85.78258039740766	CXCL10
aspartic-type peptidase activity (GO:0070001)	1/17	0.03758374258298183	0.4553567127685483	0	0	26.143790849673206	85.78258039740766	CASP3
peptidase activator activity involved in apoptotic process (GO:0016505)	1/18	0.03975101520212152	0.47659810935043617	0	0	24.691358024691358	79.63259008720777	CASP3
NAD+ ADP-ribosyltransferase activity (GO:0003950)	1/18	0.03975101520212152	0.47168472677981316	0	0	24.691358024691358	79.63259008720777	PARP1
transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0001205)	1/18	0.03975101520212152	0.46687161732287624	0	0	24.691358024691358	79.63259008720777	NFKB1
ephrin receptor binding (GO:0046875)	1/19	0.04191351573394886	0.4872975415128802	0	0	23.391812865497077	74.20226743515768	SRC
R-SMAD binding (GO:0070412)	1/19	0.04191351573394886	0.4824245660977514	0	0	23.391812865497077	74.20226743515768	JUN
insulin receptor binding (GO:0005158)	1/19	0.04191351573394886	0.4776480852452984	0	0	23.391812865497077	74.20226743515768	INS
protein tyrosine kinase activity (GO:0004713)	2/147	0.04323930430386708	0.48792587503677454	0	0	6.046863189720333	18.993229783947537	SRC;EGFR
protein phosphatase 2A binding (GO:0051721)	1/20	0.044071254437806	0.4924855714360651	0	0	22.222222222222225	69.3766119081758	TP53
mitogen-activated protein kinase binding (GO:0051019)	1/20	0.044071254437806	0.4877501332491798	0	0	22.222222222222225	69.3766119081758	MAPK14
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	1/21	0.046224241547830405	0.506705733538598	0	0	21.164021164021165	65.06351131594683	PTGS2
aspartic-type endopeptidase activity (GO:0004190)	1/21	0.046224241547830405	0.501925490769366	0	0	21.164021164021165	65.06351131594683	CASP3
histone acetyltransferase binding (GO:0035035)	1/22	0.048372487263530745	0.5203432975731205	0	0	20.202020202020204	61.18836508795997	TP53
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	1/24	0.052654795299780933	0.561163605463406	0	0	18.51851851851852	54.51848084687639	AKT1
actin monomer binding (GO:0003785)	1/25	0.05478887794214608	0.5785504450588086	0	0	17.77777777777778	51.63143222910021	NOS3
tumor necrosis factor receptor superfamily binding (GO:0032813)	1/26	0.05691825984444009	0.5955719734631868	0	0	17.094017094017097	48.99383039625183	TNF
SH2 domain binding (GO:0042169)	1/26	0.05691825984444009	0.5902064601887437	0	0	17.094017094017097	48.99383039625183	SRC
purine ribonucleoside triphosphate binding (GO:0035639)	3/396	0.05936088376999879	0.6100390823148983	0	0	3.367003367003367	9.508820848233121	AKT1;RAC1;TP53
channel activity (GO:0015267)	1/28	0.061162961873558554	0.6229961868713796	0	0	15.873015873015873	44.3525947748356	BCL2
alpha-actinin binding (GO:0051393)	1/29	0.06327830215734968	0.6388888226588552	0	0	15.325670498084293	42.30211167078549	PPARG
NADP binding (GO:0050661)	1/30	0.06538898203182864	0.6544584201620414	0	0	14.814814814814815	40.4059482247861	NOS3
phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)	1/32	0.06959640063737552	0.6905642856346484	0	0	13.88888888888889	37.01447816610091	AKT1
estrogen receptor binding (GO:0030331)	1/32	0.06959640063737552	0.6846620267830703	0	0	13.88888888888889	37.01447816610091	CTNNB1
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	1/33	0.07169315936667503	0.6993120883986691	0	0	13.468013468013469	35.49306319529373	CDK2
cyclin-dependent protein kinase activity (GO:0097472)	1/34	0.07378529768269645	0.713671240611627	0	0	13.071895424836603	34.073147524365716	CDK2
ion transmembrane transporter activity (GO:0015075)	1/35	0.07587282551934729	0.7277468514397395	0	0	12.6984126984127	32.74535477760937	GJA1
steroid hydroxylase activity (GO:0008395)	1/35	0.07587282551934729	0.7217324146509813	0	0	12.6984126984127	32.74535477760937	CYP3A4
CCR chemokine receptor binding (GO:0048020)	1/38	0.08210784536661225	0.7746404099751697	0	0	11.695906432748538	29.23651120960895	CCL2
receptor tyrosine kinase binding (GO:0030971)	1/39	0.08417703036948046	0.787705381750179	0	0	11.396011396011396	28.20322727535444	TP53
RNA polymerase II transcription coactivator activity (GO:0001105)	1/39	0.08417703036948046	0.7813529189941292	0	0	11.396011396011396	28.20322727535444	CTNNB1
amino acid binding (GO:0016597)	1/39	0.08417703036948046	0.7751020956421761	0	0	11.396011396011396	28.20322727535444	NOS3
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	1/41	0.08830172707083632	0.8066292687185127	0	0	10.840108401084011	26.308895527776485	NOS3
copper ion binding (GO:0005507)	1/41	0.08830172707083632	0.8002778571538001	0	0	10.840108401084011	26.308895527776485	TP53
transferase activity, transferring pentosyl groups (GO:0016763)	1/42	0.0903572583768995	0.8125094093110259	0	0	10.582010582010582	25.438983375207116	PARP1
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/43	0.09240825805841026	0.8245108916684512	0	0	10.335917312661499	24.615389471850154	SRC
transforming growth factor beta receptor binding (GO:0005160)	1/44	0.0944547358631225	0.8362876998342615	0	0	10.101010101010102	23.834692371798972	TGFB1
damaged DNA binding (GO:0003684)	1/46	0.09853416477511664	0.8657467454668646	0	0	9.66183574879227	22.389873820618625	TP53
flavin adenine dinucleotide binding (GO:0050660)	1/48	0.10259562282115367	0.8946027414177868	0	0	9.25925925925926	21.082963052938855	NOS3
protein tyrosine kinase binding (GO:1990782)	1/48	0.10259562282115367	0.8878764050161494	0	0	9.25925925925926	21.082963052938855	TP53
SH3/SH2 adaptor activity (GO:0005070)	1/51	0.10865428362703972	0.9332916451844978	0	0	8.714596949891067	19.34278123859891	SRC
actin binding (GO:0003779)	2/254	0.11155378879295727	0.9510993400051394	0	0	3.499562554680665	7.675409951725032	NOS3;EGFR
ATP binding (GO:0005524)	2/255	0.11228063553623606	0.950257437516233	0	0	3.485838779956427	7.622671432590834	AKT1;TP53
iron ion binding (GO:0005506)	1/54	0.1146729436907043	0.9634201327591287	0	0	8.23045267489712	17.824454076431348	CYP3A4
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	2/262	0.1174036863183145	0.9792148040027535	0	0	3.392705682782019	7.267640279681669	JUN;TP53
serine-type endopeptidase inhibitor activity (GO:0004867)	1/56	0.11866328862396584	0.9826003252243504	0	0	7.936507936507937	16.916391300439464	APP
nuclear hormone receptor binding (GO:0035257)	1/56	0.11866328862396584	0.9755817514727478	0	0	7.936507936507937	16.916391300439464	CTNNB1
protein serine/threonine phosphatase activity (GO:0004722)	1/61	0.1285623721739103	1.0	0	0	7.285974499089254	14.946018986094149	CYCS
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	1/61	0.1285623721739103	1.0	0	0	7.285974499089254	14.946018986094149	EGFR
core promoter proximal region sequence-specific DNA binding (GO:0000987)	2/278	0.1293312984078526	1.0	0	0	3.19744204636291	6.539977496756694	JUN;TP53
adenyl ribonucleotide binding (GO:0032559)	2/279	0.13008624628376658	1.0	0	0	3.185981680605337	6.497993199677764	AKT1;TP53
transmembrane receptor protein kinase activity (GO:0019199)	1/62	0.13052910236464002	1.0	0	0	7.168458781362007	14.596122368860762	EGFR
mRNA 3'-UTR binding (GO:0003730)	1/63	0.13249149230678708	1.0	0	0	7.0546737213403885	14.259166452364918	TP53
G-protein coupled peptide receptor activity (GO:0008528)	1/64	0.13444955137593836	1.0	0	0	6.944444444444445	13.934487729223155	EDNRB
mitogen-activated protein kinase kinase binding (GO:0031434)	1/65	0.13640328889328934	1.0	0	0	6.837606837606838	13.621466131573186	EGFR
metalloendopeptidase activity (GO:0004222)	1/65	0.13640328889328934	1.0	0	0	6.837606837606838	13.621466131573186	MMP2
cysteine-type peptidase activity (GO:0008234)	1/65	0.13640328889328934	1.0	0	0	6.837606837606838	13.621466131573186	CASP3
zinc ion binding (GO:0008270)	2/302	0.14772710515069226	1.0	0	0	2.9433406916850626	5.6288111593285	PPARG;TP53
MAP kinase kinase kinase activity (GO:0004709)	1/78	0.16141283090868078	1.0	0	0	5.698005698005698	10.391965975672843	EGFR
phosphatidylinositol phosphate binding (GO:1901981)	1/81	0.16708290601895104	1.0	0	0	5.486968449931413	9.817641407546231	AKT1
cysteine-type endopeptidase activity (GO:0004197)	1/81	0.16708290601895104	1.0	0	0	5.486968449931413	9.817641407546231	CASP3
hormone activity (GO:0005179)	1/83	0.1708421124022699	1.0	0	0	5.354752342704151	9.461930218400342	INS
RNA polymerase II transcription cofactor activity (GO:0001104)	1/84	0.17271548947000426	1.0	0	0	5.291005291005291	9.291585226512476	CTNNB1
phosphatidylinositol bisphosphate binding (GO:1902936)	1/87	0.17831082359423733	1.0	0	0	5.108556832694764	8.808311885348992	AKT1
endopeptidase activity (GO:0004175)	2/354	0.18919184777608905	1.0	0	0	2.5109855618330195	4.180775169257729	CASP3;MMP2
transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	1/97	0.19669599423683848	1.0	0	0	4.581901489117985	7.450611311019863	RB1
metallopeptidase activity (GO:0008237)	1/102	0.20573712788189055	1.0	0	0	4.357298474945534	6.889568641903946	MMP2
protein kinase regulator activity (GO:0019887)	1/107	0.21467874050805194	1.0	0	0	4.153686396677051	6.390914220248536	CXCL10
endopeptidase inhibitor activity (GO:0004866)	1/111	0.22176109544275174	1.0	0	0	4.004004004004004	6.030649142044848	APP
sequence-specific DNA binding (GO:0043565)	2/394	0.22209741136794378	1.0	0	0	2.2560631697687534	3.3945610905906856	BCL2;PPARG
actin filament binding (GO:0051015)	1/127	0.2494712294500503	1.0	0	0	3.499562554680665	4.858833537235515	EGFR
phosphoprotein phosphatase activity (GO:0004721)	1/136	0.2646317562129679	1.0	0	0	3.2679738562091507	4.34449679274703	CYCS
GTP binding (GO:0005525)	1/147	0.2827550507944534	1.0	0	0	3.0234315948601664	3.8191210915649094	RAC1
purine ribonucleoside binding (GO:0032550)	1/159	0.302027916602494	1.0	0	0	2.7952480782669467	3.3465711440905386	RAC1
guanyl ribonucleotide binding (GO:0032561)	1/170	0.31924929391867934	1.0	0	0	2.6143790849673203	2.9850535836855014	RAC1
mRNA binding (GO:0003729)	1/179	0.333029870096283	1.0	0	0	2.4829298572315333	2.730038716413802	TP53
peptidase activity, acting on L-amino acid peptides (GO:0070011)	1/185	0.3420649885696611	1.0	0	0	2.402402402402403	2.5771880718667095	MMP2
serine-type endopeptidase activity (GO:0004252)	1/196	0.35831957629971734	1.0	0	0	2.2675736961451247	2.3272789558893052	MMP2
serine-type peptidase activity (GO:0008236)	1/220	0.39243313280240366	1.0	0	0	2.0202020202020203	1.8896749869895886	MMP2
GTPase activity (GO:0003924)	1/222	0.39519451280129153	1.0	0	0	2.002002002002002	1.8586130086425086	RAC1
GTPase activator activity (GO:0005096)	1/249	0.43129342241123775	1.0	0	0	1.78491744756805	1.5010560036701173	JUN
GTPase regulator activity (GO:0030695)	1/275	0.4640600926819695	1.0	0	0	1.6161616161616164	1.2407938990725464	JUN
nucleoside-triphosphatase activity (GO:0017111)	1/424	0.6191422149405776	1.0	0	0	1.0482180293501049	0.5025369844714782	RAC1
RNA binding (GO:0003723)	2/1387	0.8288419569917467	1.0	0	0	0.6408715853560842	0.12030812142900314	JUN;PARP1
